iter,mean_eval,pop_best_eval,median_eval,best_eval,worst_eval
1,964448.25,8591.0966796875,14109.04296875,8591.0966796875,41951528.0
2,21028.626953125,7852.19482421875,12435.3701171875,7852.19482421875,41951528.0
3,26374.16796875,7837.49951171875,12567.1279296875,7837.49951171875,41951528.0
4,163211.046875,8230.1689453125,12832.083984375,7837.49951171875,41951528.0
5,50691.4453125,8650.8857421875,12909.3369140625,7837.49951171875,41951528.0
6,61054.02734375,9133.2509765625,12551.9091796875,7837.49951171875,41951528.0
7,32034.166015625,8056.57470703125,12300.1591796875,7837.49951171875,41951528.0
8,24944.640625,8584.330078125,12741.9208984375,7837.49951171875,41951528.0
9,21705.44140625,8101.56591796875,13178.1201171875,7837.49951171875,41951528.0
10,24335.333984375,6682.716796875,12998.08984375,6682.716796875,41951528.0
11,39077.46875,8621.0322265625,13628.609375,6682.716796875,41951528.0
12,67634.75,8751.1103515625,12836.474609375,6682.716796875,41951528.0
13,18907.0390625,7656.515625,12291.115234375,6682.716796875,41951528.0
14,25954.73046875,8392.515625,12575.03515625,6682.716796875,41951528.0
15,23043.7109375,6350.0146484375,12483.75390625,6350.0146484375,41951528.0
16,60017.8125,7684.63427734375,12872.87109375,6350.0146484375,41951528.0
17,26515.02734375,9107.01171875,12085.19140625,6350.0146484375,41951528.0
18,15307.7958984375,7475.4716796875,12644.9873046875,6350.0146484375,41951528.0
19,63215.984375,8590.0634765625,13032.744140625,6350.0146484375,41951528.0
20,45106.1796875,8801.2001953125,12486.8251953125,6350.0146484375,41951528.0
21,104993.1015625,7975.14990234375,13208.6064453125,6350.0146484375,41951528.0
22,85943.5625,8423.548828125,12838.6337890625,6350.0146484375,41951528.0
23,94334.828125,7601.39697265625,13102.4404296875,6350.0146484375,41951528.0
24,17093.341796875,7069.87646484375,11443.9345703125,6350.0146484375,41951528.0
25,13787.9638671875,8767.8291015625,13148.8046875,6350.0146484375,41951528.0
26,23425.146484375,8196.0419921875,12329.61328125,6350.0146484375,41951528.0
27,14382.537109375,7175.55712890625,11971.943359375,6350.0146484375,41951528.0
28,14697.244140625,9658.013671875,12780.8193359375,6350.0146484375,41951528.0
29,30669.94921875,6786.1044921875,12996.734375,6350.0146484375,41951528.0
30,14353.7255859375,8259.150390625,12263.287109375,6350.0146484375,41951528.0
31,36894.46875,8262.0283203125,13219.78515625,6350.0146484375,41951528.0
32,12856.732421875,7784.26904296875,12118.66796875,6350.0146484375,41951528.0
33,13927.873046875,8578.6796875,12041.064453125,6350.0146484375,41951528.0
34,27739.55859375,7108.6630859375,12696.8798828125,6350.0146484375,41951528.0
35,46575.30078125,8726.076171875,12076.4482421875,6350.0146484375,41951528.0
36,29569.72265625,8255.29296875,11745.23828125,6350.0146484375,41951528.0
37,109361.0703125,9214.943359375,12933.3544921875,6350.0146484375,41951528.0
38,22961.412109375,8103.34130859375,12298.16015625,6350.0146484375,41951528.0
39,16064.8896484375,7620.943359375,12160.0205078125,6350.0146484375,41951528.0
40,35257.125,8413.0947265625,12887.0751953125,6350.0146484375,41951528.0
41,20596.671875,8428.7958984375,12923.8017578125,6350.0146484375,41951528.0
42,26220.470703125,8059.966796875,12904.8642578125,6350.0146484375,41951528.0
43,12695.5771484375,9035.34765625,12111.107421875,6350.0146484375,41951528.0
44,52050.25390625,8330.00390625,12726.6123046875,6350.0146484375,41951528.0
45,39438.59375,8136.6826171875,11927.990234375,6350.0146484375,41951528.0
46,69304.3359375,8225.50390625,12996.2119140625,6350.0146484375,41951528.0
47,27074.849609375,8454.2333984375,12361.7314453125,6350.0146484375,41951528.0
48,19156.890625,7585.2783203125,11933.9638671875,6350.0146484375,41951528.0
49,28048.9765625,7603.8505859375,12790.666015625,6350.0146484375,41951528.0
50,32796.875,8238.447265625,12139.2568359375,6350.0146484375,41951528.0
51,15868.900390625,6635.48193359375,12090.333984375,6350.0146484375,41951528.0
52,16718.431640625,8035.4853515625,12352.494140625,6350.0146484375,41951528.0
53,18916.8671875,7280.09716796875,11726.9599609375,6350.0146484375,41951528.0
54,19496.40625,7986.9677734375,12614.767578125,6350.0146484375,41951528.0
55,31434.869140625,6633.20703125,12109.4375,6350.0146484375,41951528.0
56,25864.90625,6076.45556640625,11653.0419921875,6076.45556640625,41951528.0
57,13424.83984375,8183.5166015625,11789.1669921875,6076.45556640625,41951528.0
58,128798.234375,8358.21484375,12813.3779296875,6076.45556640625,41951528.0
59,58814.859375,7844.560546875,12834.03515625,6076.45556640625,41951528.0
60,28620.533203125,8654.390625,12176.0673828125,6076.45556640625,41951528.0
61,16043.1396484375,8827.2587890625,12070.1591796875,6076.45556640625,41951528.0
62,37342.72265625,7783.81005859375,11927.4814453125,6076.45556640625,41951528.0
63,25060.708984375,8732.6650390625,11897.5263671875,6076.45556640625,41951528.0
64,20880.119140625,8478.82421875,12695.740234375,6076.45556640625,41951528.0
65,28231.94921875,6816.2783203125,12245.611328125,6076.45556640625,41951528.0
66,25456.568359375,8211.041015625,12656.65234375,6076.45556640625,41951528.0
67,37149.55859375,7400.080078125,12703.0556640625,6076.45556640625,41951528.0
68,19060.251953125,8580.107421875,11654.8720703125,6076.45556640625,41951528.0
69,24347.63671875,6859.3056640625,12292.96875,6076.45556640625,41951528.0
70,28650.4375,8132.2646484375,12541.677734375,6076.45556640625,41951528.0
71,39117.953125,7720.52734375,12216.04296875,6076.45556640625,41951528.0
72,20607.96484375,8078.34814453125,12055.2470703125,6076.45556640625,41951528.0
73,27913.943359375,8511.3427734375,12956.2177734375,6076.45556640625,41951528.0
74,12910.51953125,6099.03564453125,11692.0751953125,6076.45556640625,41951528.0
75,17656.638671875,7140.90283203125,12366.29296875,6076.45556640625,41951528.0
76,37734.1015625,9140.08203125,12320.5791015625,6076.45556640625,41951528.0
77,22668.40625,6594.7802734375,12302.541015625,6076.45556640625,41951528.0
78,20821.15625,9373.173828125,12823.396484375,6076.45556640625,41951528.0
79,23435.79296875,8378.732421875,11959.6103515625,6076.45556640625,41951528.0
80,32125.765625,8837.349609375,12295.939453125,6076.45556640625,41951528.0
81,82718.0390625,8399.224609375,12763.7197265625,6076.45556640625,41951528.0
82,16108.38671875,7733.90966796875,11802.580078125,6076.45556640625,41951528.0
83,34552.6953125,8070.06884765625,12709.58203125,6076.45556640625,41951528.0
84,28332.2578125,8306.92578125,12863.59765625,6076.45556640625,41951528.0
85,21857.216796875,8580.1884765625,12824.1953125,6076.45556640625,41951528.0
86,30342.23046875,7333.30908203125,13117.9609375,6076.45556640625,41951528.0
87,57407.53515625,8462.44140625,11758.138671875,6076.45556640625,41951528.0
88,28965.0859375,8709.0810546875,12763.919921875,6076.45556640625,41951528.0
89,53980.1796875,7961.9853515625,13104.2138671875,6076.45556640625,41951528.0
90,21515.166015625,7383.27685546875,11519.1123046875,6076.45556640625,41951528.0
91,16778.162109375,6645.85302734375,11359.255859375,6076.45556640625,41951528.0
92,16976.416015625,7676.796875,12376.482421875,6076.45556640625,41951528.0
93,26363.703125,7673.62548828125,12320.6171875,6076.45556640625,41951528.0
94,27082.908203125,8310.7568359375,12431.419921875,6076.45556640625,41951528.0
95,14514.423828125,8241.8466796875,12230.263671875,6076.45556640625,41951528.0
96,50819.8046875,7569.97314453125,12238.3310546875,6076.45556640625,41951528.0
97,27153.009765625,8000.73095703125,12361.37109375,6076.45556640625,41951528.0
98,33014.61328125,7931.59912109375,11996.23828125,6076.45556640625,41951528.0
99,32750.689453125,6180.36669921875,12438.76171875,6076.45556640625,41951528.0
100,19172.703125,8306.2451171875,12779.890625,6076.45556640625,41951528.0
101,35920.62890625,8427.869140625,13006.6572265625,6076.45556640625,41951528.0
102,57198.75,8479.8955078125,12914.013671875,6076.45556640625,41951528.0
103,87150.375,8816.22265625,12053.0927734375,6076.45556640625,41951528.0
104,63917.12109375,8461.275390625,12695.5068359375,6076.45556640625,41951528.0
105,12930.923828125,7546.06005859375,11658.392578125,6076.45556640625,41951528.0
106,35034.4765625,7546.24853515625,12521.51953125,6076.45556640625,41951528.0
107,31120.30859375,7597.7822265625,12809.7275390625,6076.45556640625,41951528.0
108,48891.53125,8129.06201171875,12378.287109375,6076.45556640625,41951528.0
109,28394.255859375,7659.39501953125,11989.796875,6076.45556640625,41951528.0
110,29709.638671875,6952.1943359375,12298.0654296875,6076.45556640625,41951528.0
111,25065.763671875,8509.013671875,12031.1015625,6076.45556640625,41951528.0
112,43189.4296875,8278.2509765625,12416.63671875,6076.45556640625,41951528.0
113,29926.333984375,7943.82275390625,12685.1982421875,6076.45556640625,41951528.0
114,20013.08984375,6532.29736328125,11573.6806640625,6076.45556640625,41951528.0
115,23507.583984375,7879.6171875,12373.703125,6076.45556640625,41951528.0
116,26197.375,8078.7939453125,12281.357421875,6076.45556640625,41951528.0
117,36988.7421875,9001.6298828125,12412.63671875,6076.45556640625,41951528.0
118,55384.34375,8204.9638671875,12773.1953125,6076.45556640625,41951528.0
119,17600.9296875,8384.2529296875,12272.330078125,6076.45556640625,41951528.0
120,23322.529296875,8616.6357421875,12250.4990234375,6076.45556640625,41951528.0
121,78218.234375,7854.513671875,12745.923828125,6076.45556640625,41951528.0
122,37337.94140625,6449.3515625,12357.890625,6076.45556640625,41951528.0
123,23871.013671875,8032.169921875,12128.8623046875,6076.45556640625,41951528.0
124,40784.09375,8289.7724609375,12554.4384765625,6076.45556640625,41951528.0
125,15480.0859375,7678.2841796875,12105.7880859375,6076.45556640625,41951528.0
126,30569.4296875,8731.041015625,13057.109375,6076.45556640625,41951528.0
127,16692.44140625,7803.1572265625,12034.2353515625,6076.45556640625,41951528.0
128,29612.0234375,7270.2646484375,11850.9755859375,6076.45556640625,41951528.0
129,18673.17578125,7240.45458984375,12391.34765625,6076.45556640625,41951528.0
130,20739.537109375,7321.458984375,12076.171875,6076.45556640625,41951528.0
131,92355.984375,7813.3447265625,12258.9365234375,6076.45556640625,41951528.0
132,24332.5703125,9093.986328125,12321.8857421875,6076.45556640625,41951528.0
133,14761.3466796875,7083.8291015625,12113.9990234375,6076.45556640625,41951528.0
134,39452.7265625,7690.55810546875,12259.6875,6076.45556640625,41951528.0
135,25556.0546875,8086.29541015625,11812.3662109375,6076.45556640625,41951528.0
136,34032.859375,7527.81640625,12409.8935546875,6076.45556640625,41951528.0
137,14323.4208984375,8695.4130859375,11986.705078125,6076.45556640625,41951528.0
138,13617.9794921875,7585.5478515625,11276.3994140625,6076.45556640625,41951528.0
139,20881.04296875,8324.2568359375,12292.384765625,6076.45556640625,41951528.0
140,21454.654296875,8412.455078125,12388.70703125,6076.45556640625,41951528.0
141,16243.18359375,7260.07470703125,11998.1982421875,6076.45556640625,41951528.0
142,12880.9189453125,7514.2158203125,12374.978515625,6076.45556640625,41951528.0
143,23833.80859375,8031.91015625,12387.474609375,6076.45556640625,41951528.0
144,39345.30859375,8953.015625,12727.0732421875,6076.45556640625,41951528.0
145,32697.86328125,8540.734375,12150.5869140625,6076.45556640625,41951528.0
146,18579.8515625,7840.126953125,12466.23046875,6076.45556640625,41951528.0
147,13425.333984375,8130.0263671875,12343.244140625,6076.45556640625,41951528.0
148,46826.890625,7005.49658203125,12150.2109375,6076.45556640625,41951528.0
149,65018.31640625,7874.29736328125,12994.9013671875,6076.45556640625,41951528.0
150,26348.185546875,8419.546875,12241.578125,6076.45556640625,41951528.0
151,18378.69921875,7260.97509765625,11979.9453125,6076.45556640625,41951528.0
152,24843.65234375,7162.79248046875,12122.3310546875,6076.45556640625,41951528.0
153,22194.7578125,8022.0517578125,12482.166015625,6076.45556640625,41951528.0
154,19344.212890625,5921.4365234375,11765.5068359375,5921.4365234375,41951528.0
155,37714.0703125,7407.3154296875,12653.8251953125,5921.4365234375,41951528.0
156,12532.8828125,6785.96484375,12169.1328125,5921.4365234375,41951528.0
157,13792.1259765625,7199.14501953125,12101.99609375,5921.4365234375,41951528.0
158,13972.0625,7565.4677734375,12224.7822265625,5921.4365234375,41951528.0
159,13908.02734375,8204.921875,11888.78515625,5921.4365234375,41951528.0
160,23869.052734375,8052.80078125,12229.7431640625,5921.4365234375,41951528.0
161,25375.138671875,8579.75,11828.380859375,5921.4365234375,41951528.0
162,23491.73828125,7954.31640625,11995.46875,5921.4365234375,41951528.0
163,23357.318359375,7775.849609375,12795.6904296875,5921.4365234375,41951528.0
164,12056.828125,6932.49755859375,12152.6171875,5921.4365234375,41951528.0
165,18087.57421875,8050.97607421875,12549.115234375,5921.4365234375,41951528.0
166,26423.794921875,7630.787109375,11995.48046875,5921.4365234375,41951528.0
167,29043.6796875,8103.6572265625,12970.34375,5921.4365234375,41951528.0
168,117090.0234375,7349.49072265625,12320.59375,5921.4365234375,41951528.0
169,18201.2734375,8050.7021484375,12198.30078125,5921.4365234375,41951528.0
170,26089.62109375,6728.96533203125,12137.671875,5921.4365234375,41951528.0
171,31074.03515625,6763.46240234375,11879.5908203125,5921.4365234375,41951528.0
172,46295.7421875,7090.03466796875,12528.3662109375,5921.4365234375,41951528.0
173,27929.966796875,8269.9443359375,12245.009765625,5921.4365234375,41951528.0
174,14885.845703125,8210.08203125,12617.8935546875,5921.4365234375,41951528.0
175,24874.658203125,7094.732421875,11220.5947265625,5921.4365234375,41951528.0
176,15568.0849609375,6724.27099609375,11979.2412109375,5921.4365234375,41951528.0
177,15483.84765625,7120.431640625,12665.6552734375,5921.4365234375,41951528.0
178,18808.51171875,7261.9404296875,11825.0048828125,5921.4365234375,41951528.0
179,20514.6953125,8248.1181640625,12397.11328125,5921.4365234375,41951528.0
180,31802.66796875,8882.337890625,11983.408203125,5921.4365234375,41951528.0
181,28050.33984375,6975.4453125,12053.1357421875,5921.4365234375,41951528.0
182,15044.2685546875,6828.47412109375,11871.8388671875,5921.4365234375,41951528.0
183,31533.701171875,6116.74609375,11962.8134765625,5921.4365234375,41951528.0
184,16010.2607421875,6611.3115234375,11799.3828125,5921.4365234375,41951528.0
185,152532.9375,7286.66845703125,12261.650390625,5921.4365234375,41951528.0
186,20407.03515625,7240.09326171875,11879.69921875,5921.4365234375,41951528.0
187,15582.8798828125,8377.205078125,11718.49609375,5921.4365234375,41951528.0
188,71187.2734375,7292.2880859375,12309.9794921875,5921.4365234375,41951528.0
189,16028.9267578125,7269.046875,11958.2802734375,5921.4365234375,41951528.0
190,13681.5830078125,8284.099609375,11680.123046875,5921.4365234375,41951528.0
191,37102.5234375,7628.03173828125,12263.5205078125,5921.4365234375,41951528.0
192,13659.5048828125,7951.67431640625,11461.3388671875,5921.4365234375,41951528.0
193,37138.98046875,5841.400390625,11543.978515625,5841.400390625,41951528.0
194,29408.591796875,7157.38623046875,13237.3232421875,5841.400390625,41951528.0
195,27734.70703125,8522.6044921875,12919.6416015625,5841.400390625,41951528.0
196,26411.982421875,7441.6064453125,11644.52734375,5841.400390625,41951528.0
197,43818.49609375,7877.31787109375,11760.0009765625,5841.400390625,41951528.0
198,19962.76171875,7562.87841796875,11667.0859375,5841.400390625,41951528.0
199,33779.62109375,7220.51318359375,11847.1240234375,5841.400390625,41951528.0
200,19665.54296875,7733.79541015625,11280.37890625,5841.400390625,41951528.0
201,59206.4609375,7773.6806640625,12579.5166015625,5841.400390625,41951528.0
202,29262.201171875,8687.3388671875,12074.0888671875,5841.400390625,41951528.0
203,21507.3203125,7730.419921875,12928.18359375,5841.400390625,41951528.0
204,41830.76171875,7604.49755859375,12064.5390625,5841.400390625,41951528.0
205,49687.86328125,7260.04931640625,11789.435546875,5841.400390625,41951528.0
206,21208.67578125,8351.9970703125,12254.662109375,5841.400390625,41951528.0
207,19601.48046875,7451.18798828125,11450.5400390625,5841.400390625,41951528.0
208,21715.93359375,7715.42236328125,12163.4208984375,5841.400390625,41951528.0
209,15832.7138671875,5855.81103515625,12227.7001953125,5841.400390625,41951528.0
210,22820.482421875,8019.39599609375,11362.55078125,5841.400390625,41951528.0
211,26930.10546875,6472.81591796875,11740.037109375,5841.400390625,41951528.0
212,29705.50390625,8572.833984375,12151.9501953125,5841.400390625,41951528.0
213,12197.3203125,7796.80908203125,11497.8369140625,5841.400390625,41951528.0
214,29333.267578125,7317.79736328125,11900.6259765625,5841.400390625,41951528.0
215,23407.0390625,5604.865234375,12129.4638671875,5604.865234375,41951528.0
216,32575.9609375,4387.115234375,11832.189453125,4387.115234375,41951528.0
217,83667.9765625,7061.875,12368.552734375,4387.115234375,41951528.0
218,21862.80859375,5145.626953125,11494.3134765625,4387.115234375,41951528.0
219,16889.15625,6990.0888671875,11336.9189453125,4387.115234375,41951528.0
220,16707.03515625,7442.79541015625,11791.900390625,4387.115234375,41951528.0
221,46334.546875,7542.17041015625,12254.9580078125,4387.115234375,41951528.0
222,12663.365234375,6434.1318359375,11880.5634765625,4387.115234375,41951528.0
223,15673.517578125,5468.85107421875,12054.396484375,4387.115234375,41951528.0
224,28284.73828125,8201.529296875,11688.5390625,4387.115234375,41951528.0
225,18562.005859375,6615.49609375,12233.7958984375,4387.115234375,41951528.0
226,21154.4453125,8326.837890625,11675.611328125,4387.115234375,41951528.0
227,15336.1015625,8098.9482421875,11978.0546875,4387.115234375,41951528.0
228,11755.2880859375,7262.76513671875,11382.5595703125,4387.115234375,41951528.0
229,16353.875,6981.0263671875,11665.734375,4387.115234375,41951528.0
230,14713.169921875,7423.1845703125,11854.6357421875,4387.115234375,41951528.0
231,18401.5703125,6418.025390625,11480.044921875,4387.115234375,41951528.0
232,13846.0537109375,6745.25146484375,11958.8134765625,4387.115234375,41951528.0
233,11248.490234375,6403.94189453125,11118.0771484375,4387.115234375,41951528.0
234,13113.224609375,6706.8056640625,11089.6396484375,4387.115234375,41951528.0
235,12477.3466796875,7281.9716796875,12336.12890625,4387.115234375,41951528.0
236,14808.9892578125,6843.4892578125,12142.796875,4387.115234375,41951528.0
237,17294.859375,7518.06103515625,11657.91796875,4387.115234375,41951528.0
238,12387.123046875,6916.4296875,11996.37890625,4387.115234375,41951528.0
239,19749.705078125,7371.36669921875,12206.181640625,4387.115234375,41951528.0
240,17669.712890625,7310.19384765625,11430.115234375,4387.115234375,41951528.0
241,15231.3857421875,8564.509765625,11720.392578125,4387.115234375,41951528.0
242,21391.69921875,7412.494140625,12401.4853515625,4387.115234375,41951528.0
243,26799.375,7652.4912109375,11780.16796875,4387.115234375,41951528.0
244,12331.8232421875,7311.169921875,11746.728515625,4387.115234375,41951528.0
245,18859.4921875,8834.1787109375,12152.373046875,4387.115234375,41951528.0
246,31399.2265625,6916.4462890625,12547.8857421875,4387.115234375,41951528.0
247,17356.15625,7901.72509765625,11647.490234375,4387.115234375,41951528.0
248,17139.478515625,6419.33251953125,11665.4375,4387.115234375,41951528.0
249,24327.931640625,7646.13623046875,11294.568359375,4387.115234375,41951528.0
250,18694.755859375,7319.93798828125,11631.810546875,4387.115234375,41951528.0
251,19483.9453125,7639.7666015625,12143.1015625,4387.115234375,41951528.0
252,43121.7734375,7780.3212890625,11613.35546875,4387.115234375,41951528.0
253,25180.0546875,7588.36181640625,11385.111328125,4387.115234375,41951528.0
254,14688.8466796875,6717.267578125,11161.046875,4387.115234375,41951528.0
255,17954.46875,7978.1318359375,11590.9072265625,4387.115234375,41951528.0
256,39289.64453125,6458.96533203125,11080.615234375,4387.115234375,41951528.0
257,12436.2880859375,6915.818359375,11230.44921875,4387.115234375,41951528.0
258,12407.419921875,7243.48046875,11390.0302734375,4387.115234375,41951528.0
259,62410.76953125,6633.6904296875,11846.0576171875,4387.115234375,41951528.0
260,29505.046875,5603.48583984375,11492.8916015625,4387.115234375,41951528.0
261,28803.791015625,7639.533203125,12385.6220703125,4387.115234375,41951528.0
262,16994.27734375,7813.16064453125,11563.724609375,4387.115234375,41951528.0
263,13024.8349609375,6536.71923828125,11753.638671875,4387.115234375,41951528.0
264,35609.2109375,7892.96240234375,11954.7890625,4387.115234375,41951528.0
265,25694.71875,7240.265625,11418.19140625,4387.115234375,41951528.0
266,10589.4228515625,6022.29443359375,10747.90234375,4387.115234375,41951528.0
267,19722.8515625,7643.0048828125,11612.5791015625,4387.115234375,41951528.0
268,13594.138671875,6507.83935546875,11727.0869140625,4387.115234375,41951528.0
269,18764.5625,6975.5458984375,12270.8837890625,4387.115234375,41951528.0
270,17241.947265625,7661.44384765625,11145.275390625,4387.115234375,41951528.0
271,14405.228515625,6951.5244140625,11860.21484375,4387.115234375,41951528.0
272,36111.6171875,8569.12890625,11755.134765625,4387.115234375,41951528.0
273,13596.0205078125,8696.9140625,11820.0205078125,4387.115234375,41951528.0
274,12587.7001953125,7193.75048828125,11213.796875,4387.115234375,41951528.0
275,18803.662109375,6530.814453125,12158.0322265625,4387.115234375,41951528.0
276,12276.46875,7314.2626953125,11899.2138671875,4387.115234375,41951528.0
277,22766.009765625,6593.97119140625,11668.1083984375,4387.115234375,41951528.0
278,15142.5400390625,7515.62158203125,11525.857421875,4387.115234375,41951528.0
279,12788.23828125,7593.4423828125,10914.6728515625,4387.115234375,41951528.0
280,11956.91796875,6718.82275390625,11153.9296875,4387.115234375,41951528.0
281,13968.5693359375,7806.05419921875,12320.771484375,4387.115234375,41951528.0
282,12349.5078125,7138.51611328125,11649.232421875,4387.115234375,41951528.0
283,26149.14453125,6276.17333984375,11896.9765625,4387.115234375,41951528.0
284,23613.240234375,4700.3720703125,11866.2412109375,4387.115234375,41951528.0
285,11560.03125,7534.9765625,11313.63671875,4387.115234375,41951528.0
286,17344.984375,7022.91455078125,11532.318359375,4387.115234375,41951528.0
287,11715.05859375,7215.541015625,11899.94140625,4387.115234375,41951528.0
288,48047.4296875,7803.6171875,11381.8515625,4387.115234375,41951528.0
289,23936.3515625,8372.544921875,12312.5859375,4387.115234375,41951528.0
290,56895.34375,8420.0234375,12180.630859375,4387.115234375,41951528.0
291,26157.611328125,6863.8427734375,12343.3251953125,4387.115234375,41951528.0
292,52023.73828125,7160.1337890625,11844.416015625,4387.115234375,41951528.0
293,13972.9609375,6810.3427734375,11031.279296875,4387.115234375,41951528.0
294,17627.7734375,7098.5576171875,11008.07421875,4387.115234375,41951528.0
295,13555.412109375,7248.798828125,12151.7353515625,4387.115234375,41951528.0
296,12531.345703125,7997.51220703125,11627.6884765625,4387.115234375,41951528.0
297,39220.46875,7950.67822265625,12342.8916015625,4387.115234375,41951528.0
298,19330.3203125,6114.06298828125,11268.3427734375,4387.115234375,41951528.0
299,26803.103515625,8843.150390625,12540.123046875,4387.115234375,41951528.0
300,24654.041015625,6914.39404296875,11319.564453125,4387.115234375,41951528.0
301,14368.6884765625,7190.69287109375,11355.7255859375,4387.115234375,41951528.0
302,15063.4990234375,8779.908203125,11948.9140625,4387.115234375,41951528.0
303,13106.4501953125,8161.630859375,11572.646484375,4387.115234375,41951528.0
304,12111.916015625,6311.78759765625,11181.123046875,4387.115234375,41951528.0
305,24221.84765625,7740.9541015625,12027.1640625,4387.115234375,41951528.0
306,11966.0625,7204.15625,11752.3232421875,4387.115234375,41951528.0
307,11591.7568359375,6660.2724609375,11436.865234375,4387.115234375,41951528.0
308,12362.033203125,7052.6728515625,11586.5625,4387.115234375,41951528.0
309,11608.875,8290.2841796875,11167.3515625,4387.115234375,41951528.0
310,20284.578125,8112.11767578125,11745.091796875,4387.115234375,41951528.0
311,16850.712890625,7931.44287109375,12182.150390625,4387.115234375,41951528.0
312,11876.6689453125,7092.0,11230.0576171875,4387.115234375,41951528.0
313,23314.65625,6330.22119140625,10918.458984375,4387.115234375,41951528.0
314,26721.59765625,6265.6298828125,11626.7470703125,4387.115234375,41951528.0
315,15507.880859375,7466.85205078125,11323.2939453125,4387.115234375,41951528.0
316,14848.126953125,7075.873046875,11126.986328125,4387.115234375,41951528.0
317,34322.98828125,6827.01318359375,11937.5908203125,4387.115234375,41951528.0
318,14613.763671875,7699.83984375,11340.82421875,4387.115234375,41951528.0
319,18049.03515625,6866.85302734375,12506.4228515625,4387.115234375,41951528.0
320,16894.04296875,7158.0205078125,11754.30859375,4387.115234375,41951528.0
321,13576.109375,7411.0263671875,12027.912109375,4387.115234375,41951528.0
322,13000.984375,5463.876953125,11657.4697265625,4387.115234375,41951528.0
323,12420.546875,7084.39111328125,11896.3330078125,4387.115234375,41951528.0
324,11331.513671875,7313.12939453125,11216.392578125,4387.115234375,41951528.0
325,12108.1181640625,7459.1201171875,11898.712890625,4387.115234375,41951528.0
326,14882.4501953125,6126.470703125,12131.7119140625,4387.115234375,41951528.0
327,11771.3837890625,7759.93359375,11480.4384765625,4387.115234375,41951528.0
328,11481.9306640625,7924.5703125,11720.732421875,4387.115234375,41951528.0
329,18910.2578125,7445.869140625,12014.806640625,4387.115234375,41951528.0
330,16482.38671875,7366.85400390625,11527.833984375,4387.115234375,41951528.0
331,17169.146484375,7965.83251953125,11406.33203125,4387.115234375,41951528.0
332,12341.521484375,7913.42626953125,11493.7666015625,4387.115234375,41951528.0
333,11548.3564453125,7423.80322265625,11033.556640625,4387.115234375,41951528.0
